Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total
2022,4,31.981,85.668,1.075.272,1.109.421,765.015,335.573,7.410.902,394.282,11.208.114
2022,3,33.013,96.727,1.161.370,1.151.906,823.505,479.822,6.995.750,349.035,11.091.128
2022,2,33.667,99.498,1.193.090,1.197.030,856.562,485.321,6.741.922,351.594,10.958.684
2022,1,34.89,104.84,1.263.273,1.209.148,967.508,509.830,6.336.187,198.333,10.624.009
2021,4,41.262,28.521,1.413.208,1.245.333,976.539,558.358,6.032.322,194.251,10.489.794
2021,3,40.174,41.437,2.550.229,1.095.772,710.122,536.364,4.948.174,163.269,10.085.541
2021,2,40.172,42.024,2.531.271,1.080.279,693.277,647.401,4.661.291,167.369,9.863.084
2021,1,39.487,41.674,2.593.477,1.072.722,737.930,595.920,4.379.965,186.797,9.647.972
2020,4,39.51,42.185,2.622.638,1.073.875,786.595,582.420,4.239.237,185.102,9.571.562
2020,3,41.038,44.005,2.637.984,1.040.017,799.350,538.567,4.053.461,201.777,9.356.199
2020,2,41.038,48.69,2.651.502,1.053.107,807.775,523.437,3.711.499,194.008,9.031.056
2020,1,42.55,56.17,2.649.819,1.022.014,814.470,532.309,3.500.882,194.212,8.812.426
2019,4,38.272,28.98,2.792.307,1.046.128,851.619,1.004.083,2.830.746,201.046,8.793.181
2019,3,241.713,80.599,3.309.137,1.026.859,806.466,1.141.545,2.314.898,243.467,9.164.684
2019,2,202.79,95.98,3.444.458,871.142,1.169.632,1.250.366,1.677.830,247.983,8.960.181
2019,1,166.573,195.706,3.428.759,882.836,1.464.748,1.244.215,1.138.728,126.57,8.648.135
2018,4,138.74,201.196,3.337.982,882.388,1.472.634,1.688.748,599.579,152.388,8.473.655
2018,3,5.675,220.589,3.401.277,859.413,1.607.137,1.571.692,524.777,156.475,8.347.035
2018,2,5.972,219.467,3.316.868,979.416,1.905.839,1.000.036,444.391,238.455,8.110.444
2018,1,7.309,215.406,3.272.724,976.956,2.068.087,862.010,397.977,236.584,8.037.053
2017,4,15.041,221.474,3.773.159,1.005.545,1.730.353,631.946,337.559,155.145,7.870.222
2017,3,19.022,217.997,4.062.226,1.062.810,1.592.304,353.480,245.790,0.0,7.553.629
2017,2,22.366,222.766,4.416.065,990.281,1.342.000,231.604,98.635,0.0,7.323.717
2017,1,20.653,230.159,4.584.534,975.027,1.129.987,210.668,47.990,0.0,7.199.018
2016,4,20.724,233.398,4.673.339,971.094,1.038.029,169.522,38.590,0.0,7.144.696
2016,3,20.104,294.413,4.816.081,936.533,919.208,124.564,31.022,0.0,7.141.925
2016,2,44.008,384.221,5.058.481,796.998,785.759,73.977,29.020,0.0,7.172.464
2016,1,30.428,404.81,4.944.358,762.999,641.646,27.664,23.380,0.0,6.835.285
2015,4,34.243,427.394,5.049.640,726.740,639.011,17.568,22.170,0.0,6.916.766
2015,3,35.03,455.777,5.087.802,701.187,539.414,13.101,20.677,0.0,6.852.988
2015,2,40.723,500.175,5.138.431,645.440,432.762,10.045,18.529,0.0,6.786.105
2015,1,41.158,516.919,5.121.423,571.620,348.102,7.643,16.347,0.0,6.623.212
2014,4,44.075,554.749,5.084.556,496.251,276.254,4.371,15.229,0.0,6.475.485
2014,3,37.43,608.018,5.153.437,373.372,182.483,507,12.424,0.0,6.367.671
2014,2,41.064,656.408,5.149.574,341.689,147.273,478,12.259,0.0,6.348.745
2014,1,52.684,687.619,5.130.294,289.182,101.127,345,11.595,0.0,6.272.846
